Library, Design Unit, compile Time, Peak Mem Usage
work, top, 0h:00m:00s,    325 MB
work, Char_Pic_Disply_2s_2s_248_26, 0h:00m:00s,    333 MB
work, osd_rom, 0h:00m:00s,    333 MB
work, ipml_rom_v1_3_osd_rom_Z11, 0h:00m:00s,    333 MB
work, ipml_spram_v1_3_osd_rom_Z10, 0h:00m:00s,    333 MB
work, RGB_Gary_Binary, 0h:00m:00s,    333 MB
work, timing_gen_xy, 0h:00m:00s,    333 MB
work, video_timing_data, 0h:00m:00s,    333 MB
work, color_bar, 0h:00m:00s,    333 MB
work, aq_axi_master, 0h:00m:00s,    333 MB
work, ddr3, 0h:00m:00s,    333 MB
work, ipsl_hmemc_ddrc_top_Z9, 0h:00m:00s,    333 MB
work, GTP_DDRC, 0h:00m:00s,    333 MB
work, ipsl_ddrc_reset_ctrl_Z8, 0h:00m:00s,    333 MB
work, ipsl_ddrc_apb_reset_Z7, 0h:00m:00s,    333 MB
work, ipsl_hmemc_phy_top_Z6, 0h:00m:00s,    333 MB
work, GTP_IOBUFCO, 0h:00m:00s,    333 MB
work, GTP_INV, 0h:00m:00s,    333 MB
work, ipsl_phy_io_Z5, 0h:00m:00s,    333 MB
work, GTP_OUTBUFTCO, 0h:00m:00s,    333 MB
work, GTP_IOBUF, 0h:00m:00s,    333 MB
work, GTP_OUTBUF, 0h:00m:00s,    333 MB
work, GTP_INBUFG, 0h:00m:00s,    333 MB
work, GTP_ISERDES, 0h:00m:00s,    333 MB
work, GTP_IODELAY, 0h:00m:00s,    333 MB
work, GTP_DDC_E1, 0h:00m:00s,    333 MB
work, GTP_IOCLKDIV, 0h:00m:00s,    333 MB
work, GTP_IOCLKBUF, 0h:00m:00s,    333 MB
work, GTP_DDRPHY, 0h:00m:00s,    333 MB
work, GTP_DLL, 0h:00m:00s,    333 MB
work, ipsl_ddrphy_update_ctrl_16BIT_2s_0s_1s_2s_3s_1, 0h:00m:00s,    333 MB
work, ipsl_ddrphy_dll_update_ctrl, 0h:00m:00s,    333 MB
work, ipsl_ddrphy_training_ctrl, 0h:00m:00s,    333 MB
work, ipsl_ddrphy_reset_ctrl, 0h:00m:00s,    333 MB
work, pll_50_400, 0h:00m:00s,    333 MB
work, image_processing, 0h:00m:00s,    333 MB
work, div, 0h:00m:02s,    333 MB
work, key_Module, 0h:00m:00s,    333 MB
work, frame_read_write, 0h:00m:00s,    333 MB
work, frame_fifo_read_Z4, 0h:00m:00s,    333 MB
work, frame_fifo_write_Z3, 0h:00m:00s,    333 MB
work, afifo_16i_16o_512, 0h:00m:00s,    333 MB
work, ipml_fifo_v1_4_afifo_16i_16o_512_Z2, 0h:00m:00s,    333 MB
work, ipml_fifo_ctrl_v1_3_12s_12s_ASYN_1020s_4s, 0h:00m:00s,    333 MB
work, GTP_DRM18K, 0h:00m:00s,    333 MB
work, ipml_sdpram_v1_4_afifo_16i_16o_512_Z1, 0h:00m:00s,    333 MB
work, cmos_write_req_gen_2s, 0h:00m:00s,    333 MB
work, cmos_8_16bit_2s, 0h:00m:06s,    333 MB
work, lut_ov5640_rgb565_1024_768, 0h:00m:00s,    333 MB
work, i2c_config, 0h:00m:00s,    333 MB
work, i2c_master_top, 0h:00m:00s,    333 MB
work, i2c_master_byte_ctrl, 0h:00m:00s,    333 MB
work, i2c_master_bit_ctrl, 0h:00m:00s,    333 MB
work, dvi_encoder, 0h:00m:00s,    333 MB
work, serdes_4b_10to1, 0h:00m:00s,    333 MB
work, GTP_OUTBUFT, 0h:00m:00s,    333 MB
work, GTP_OSERDES, 0h:00m:00s,    333 MB
work, encode, 0h:00m:00s,    333 MB
work, video_pll, 0h:00m:00s,    333 MB
work, GTP_PLL_E1, 0h:00m:00s,    333 MB
